image,cls_idx,robo_label,syllable,english,confidence,x_center,y_center,width,height
buh_medgha_ay_t5_fd53a6f7_jpg.rf.0QBlWuQ37rRzJtSWsQl3.jpg,3974,6208,buh_medgha_ay_t5,no translation yet,0.9115,0.5003,0.4999,0.9990,0.9993
buh_medgha_ee_t1_4b66a736_jpg.rf.SZrfKk8q6Z83f8idWQmA.jpg,3958,6192,buh_medgha_ee_t1,no translation yet,0.6669,0.4986,0.5591,0.3734,0.4934
buh_medgha_eh_t2_6ec43765_jpg.rf.JVOEzUaqkONtltXDJtfI.jpg,3989,6223,buh_medgha_eh_t2,no translation yet,0.6700,0.5015,0.5451,0.4797,0.5218
buh_medgha_eh_t4_14956bd4_jpg.rf.lrro2DAAZiYpLD0y1qlH.jpg,3991,6225,buh_medgha_eh_t4,no translation yet,0.9598,0.5002,0.4994,0.9980,0.9977
buh_medgha_er_t1_566903ad_jpg.rf.Lt9sf83PoX9ZOpxFfSjG.jpg,3964,6198,buh_medgha_er_t1,no translation yet,0.9043,0.5005,0.4998,0.9981,0.9996
buh_medgha_er_t4_1e43743a_jpg.rf.lLAiXAfLfeI63j4EElXn.jpg,3967,6201,buh_medgha_er_t4,no translation yet,0.8034,0.4997,0.4998,0.9979,0.9986
buh_medgha_oh_t1_e788429b_jpg.rf.13K7dyexgkSvuZB2df30.jpg,3982,6216,buh_medgha_oh_t1,no translation yet,0.4454,0.4982,0.5313,0.3725,0.5494
buh_medgha_oh_t5_5f5277f5_jpg.rf.OpO7ptn7G2LpjfRlClyz.jpg,3986,6220,buh_medgha_oh_t5,no translation yet,0.9198,0.5001,0.4997,0.9985,0.9994
buh_medgha_oh_t5_8a5b9aae_jpg.rf.w2YPanABbsX4prKFQmaZ.jpg,3986,6220,buh_medgha_oh_t5,no translation yet,0.9192,0.5002,0.4997,0.9985,0.9984
buh_medgha_oo_t1_b2c544af_jpg.rf.V667qmFofXY2Pa7TzrWm.jpg,3994,6228,buh_medgha_oo_t1,no translation yet,0.9648,0.4998,0.5003,0.9978,0.9991
buh_medgha_oo_t2_259056d9_jpg.rf.UWYZSP3Qr96UzSkCJpCE.jpg,3995,6229,buh_medgha_oo_t2,no translation yet,0.8930,0.5000,0.4997,0.9982,0.9986
buh_medgha_oo_t2_90212603_jpg.rf.x6NrVH12YWuOPEkoyLlb.jpg,3995,6229,buh_medgha_oo_t2,no translation yet,0.8857,0.5001,0.4999,0.9980,0.9995
buh_medgha_oo_t3_19296282_jpg.rf.1YiyxNpXORigq8shX20e.jpg,3996,6230,buh_medgha_oo_t3,no translation yet,0.9610,0.5003,0.4998,0.9985,0.9984
buh_medgha_oo_t5_a6de3b66_jpg.rf.Xw4fAjoOELvOD7YAJyqQ.jpg,3998,6232,buh_medgha_oo_t5,no translation yet,0.7875,0.5004,0.4993,0.9980,0.9978
buh_medla_a_t1_b272ece6_jpg.rf.uKqZ5rpDVGUEhgrVeLzV.jpg,3766,6000,buh_medla_a_t1,no translation yet,0.9457,0.5002,0.4998,0.9984,0.9992
buh_medla_a_t4_98dde287_jpg.rf.V7SZPwE6JYjK42F53K0x.jpg,3769,6003,buh_medla_a_t4,no translation yet,0.8717,0.4998,0.5000,0.9976,0.9990
buh_medla_a_t5_72815e12_jpg.rf.Rlcr6uDU7L8d6M8SG8rl.jpg,3770,6004,buh_medla_a_t5,no translation yet,0.8069,0.5216,0.5342,0.5881,0.5580
buh_medla_a_t6_28cdaa99_jpg.rf.TpAZyyACXLOd8Y31Lkkb.jpg,3771,6005,buh_medla_a_t6,no translation yet,0.9849,0.5000,0.5002,0.9979,0.9994
buh_medla_ah_t2_a7853599_jpg.rf.czQEOW3E4ij0V1jMtVPt.jpg,3773,6007,buh_medla_ah_t2,no translation yet,0.8759,0.5002,0.4997,0.9987,0.9990
buh_medla_ah_t2_d00f973e_jpg.rf.EDpynShDW8EdtdMV38iB.jpg,3773,6007,buh_medla_ah_t2,no translation yet,0.8775,0.5002,0.5001,0.9987,0.9999
buh_medla_ah_t3_4b26620a_jpg.rf.ybzEuQfOqiSd4bttmi4T.jpg,3774,6008,buh_medla_ah_t3,no translation yet,0.9376,0.5001,0.5001,0.9980,0.9992
buh_medla_aw_t2_73348458_jpg.rf.4jySCdlg1Es9xRKdKIcS.jpg,3797,6031,buh_medla_aw_t2,no translation yet,0.9095,0.5001,0.4999,0.9985,0.9998
buh_medla_aw_t2_8d96289b_jpg.rf.ZdgQOtVOheaO2xw5Y3TU.jpg,3797,6031,buh_medla_aw_t2,no translation yet,0.9118,0.5000,0.4998,0.9984,0.9995
buh_medla_aw_t6_a33dccfb_jpg.rf.MBaQYAmBVX0CD64WMpHL.jpg,3801,6035,buh_medla_aw_t6,no translation yet,0.9084,0.4982,0.5347,0.5920,0.5568
buh_medla_aw_t6_b22a4219_jpg.rf.5yAYz9s3dXRAINzN4mUz.jpg,3801,6035,buh_medla_aw_t6,no translation yet,0.9837,0.5004,0.5001,0.9981,0.9991
buh_medla_ay_t2_f0e19397_jpg.rf.mMZnB8fKWGwmMQwWOM49.jpg,3791,6025,buh_medla_ay_t2,no translation yet,0.9216,0.5000,0.5002,0.9983,0.9989
buh_medla_ay_t5_d1590530_jpg.rf.EtVW9nzdyqHEthOB69Op.jpg,3794,6028,buh_medla_ay_t5,no translation yet,0.9738,0.5001,0.5002,0.9984,0.9989
buh_medla_ay_t6_3de68c5f_jpg.rf.eVpDAWong8CCWTtOECDO.jpg,3795,6029,buh_medla_ay_t6,no translation yet,0.9653,0.4999,0.4996,0.9982,0.9987
buh_medla_ee_t5_aed1af89_jpg.rf.ooUHfEarqtI9AN5iB0nY.jpg,3782,6016,buh_medla_ee_t5,no translation yet,0.9524,0.5001,0.4998,0.9988,0.9990
buh_medla_ee_t6_b8bffec6_jpg.rf.w837xGCoKVEFTf0pfkMF.jpg,3783,6017,buh_medla_ee_t6,no translation yet,0.9116,0.5000,0.4996,0.9987,0.9984
buh_medla_eh_t3_02fd5526_jpg.rf.L3JVdGBzhRX4loWNKTWP.jpg,3810,6044,buh_medla_eh_t3,no translation yet,0.9671,0.5001,0.4998,0.9982,0.9995
buh_medla_eh_t5_e3572b73_jpg.rf.e3V2iR9mrhGp4By5KDX7.jpg,3812,6046,buh_medla_eh_t5,no translation yet,0.9796,0.5001,0.4998,0.9988,0.9993
buh_medla_er_t1_53a0a648_jpg.rf.q240IIiP6foDho2klqco.jpg,3784,6018,buh_medla_er_t1,no translation yet,0.5479,0.4969,0.6152,0.5370,0.3949
buh_medla_er_t3_975538ac_jpg.rf.3rXxEqDqxJ3oiWrklvbn.jpg,3786,6020,buh_medla_er_t3,no translation yet,0.7752,0.4998,0.5001,0.9981,0.9993
buh_medla_er_t4_cc547123_jpg.rf.Jjbe1WTC8sPtLyVKJNHM.jpg,3787,6021,buh_medla_er_t4,no translation yet,0.9239,0.5000,0.4997,0.9980,0.9994
buh_medla_er_t6_02742c60_jpg.rf.9koC7Yvs9LR54NTv0N0I.jpg,3789,6023,buh_medla_er_t6,no translation yet,0.9408,0.4998,0.5002,0.9973,0.9993
buh_medla_oh_t3_0da6238c_jpg.rf.0z8MA13hQUeAHtLykAI8.jpg,3804,6038,buh_medla_oh_t3,no translation yet,0.9278,0.4996,0.4996,0.9981,0.9991
buh_medla_oh_t6_ee9a00b7_jpg.rf.JFfM92Dqtnd1VSGc6fgg.jpg,3807,6041,buh_medla_oh_t6,no translation yet,0.8931,0.5002,0.5002,0.9980,0.9980
buh_medla_oo_t1_68a38221_jpg.rf.2c77T5LhjQiyQ6IL3rAj.jpg,3814,6048,buh_medla_oo_t1,no translation yet,0.9763,0.5005,0.5003,0.9986,0.9994
buh_medla_oo_t3_b136feea_jpg.rf.LILzrVqs8fMtdQnVpPla.jpg,3816,6050,buh_medla_oo_t3,no translation yet,0.9288,0.5001,0.5001,0.9977,0.9994
buh_medla_oo_t5_48821e19_jpg.rf.O70rUDirgEi65gJJltKm.jpg,3818,6052,buh_medla_oo_t5,no translation yet,0.7453,0.4995,0.5005,0.9974,0.9990
buh_medla_oo_t6_382f2389_jpg.rf.sTYazP5Q5AQiJoK5EdPm.jpg,3819,6053,buh_medla_oo_t6,no translation yet,0.5139,0.4995,0.5001,0.9972,0.9996
buh_medla_oo_t6_b98c0c64_jpg.rf.oOtgf7zk8vRjg3nEfgj8.jpg,3819,6053,buh_medla_oo_t6,no translation yet,0.5610,0.4997,0.5001,0.9980,0.9990
buh_medla_u_t3_00fb5740_jpg.rf.7K0kIszZ0fpEvw9kgdLj.jpg,3822,6056,buh_medla_u_t3,no translation yet,0.9374,0.4999,0.5001,0.9979,0.9997
buh_medla_u_t3_3137abd5_jpg.rf.6r8OvViw16BQT0vDo8ix.jpg,3822,6056,buh_medla_u_t3,no translation yet,0.9522,0.5001,0.5003,0.9978,0.9992
buh_medla_u_t4_3aef7a23_jpg.rf.jT6pUBMYfQO5RctwYSBk.jpg,3823,6057,buh_medla_u_t4,no translation yet,0.8312,0.4999,0.4996,0.9982,0.9988
buh_medla_u_t5_d433c2d7_jpg.rf.MHdMKFc2zEJOAQ8SiOJ6.jpg,3824,6058,buh_medla_u_t5,no translation yet,0.9792,0.5001,0.5003,0.9984,0.9993
buh_medra_ah_t2_4d8b5325_jpg.rf.4tMZoWrNQe8fyD45yGkA.jpg,3833,6067,buh_medra_ah_t2,no translation yet,0.8622,0.5002,0.5000,0.9983,1.0000
buh_medra_ah_t3_e6182b04_jpg.rf.KkQCR9tTO5ZfgZXb6B56.jpg,3834,6068,buh_medra_ah_t3,no translation yet,0.8925,0.5002,0.5005,0.9979,0.9984
buh_medra_ah_t6_35228647_jpg.rf.3xbXpwmHkholRB8PmVnw.jpg,3837,6071,buh_medra_ah_t6,no translation yet,0.8088,0.5000,0.4998,0.9981,0.9995
buh_medra_aw_t3_b21ee87a_jpg.rf.s5fLxRQS50BO1L5Zuwc4.jpg,3858,6092,buh_medra_aw_t3,no translation yet,0.9735,0.5001,0.5001,0.9979,0.9995
buh_medra_aw_t6_e53b42b3_jpg.rf.0qa9kdDK1oBM8niQ4CZD.jpg,3861,6095,buh_medra_aw_t6,no translation yet,0.9692,0.5001,0.4999,0.9988,0.9993
buh_medra_ay_t5_c597c4af_jpg.rf.p20e4LTPA8IlBk6YQGM3.jpg,3854,6088,buh_medra_ay_t5,no translation yet,0.7155,0.5259,0.5212,0.5882,0.5697
buh_medra_ee_t4_94659470_jpg.rf.Pc37FQycL1LBRJcZEmmP.jpg,3841,6075,buh_medra_ee_t4,no translation yet,0.4786,0.5027,0.5215,0.6445,0.5691
buh_medra_eh_t3_8b1dc315_jpg.rf.sJhTZJ30BEjyjesGPDND.jpg,3870,6104,buh_medra_eh_t3,no translation yet,0.9508,0.5002,0.4999,0.9980,0.9993
buh_medra_eh_t3_cdbfe6a7_jpg.rf.MtTFUB3rJ8rFBztysqNh.jpg,3870,6104,buh_medra_eh_t3,no translation yet,0.9583,0.5003,0.4997,0.9977,0.9992
buh_medra_eh_t4_613515f8_jpg.rf.L2Wlm5VBaWURnobA1chK.jpg,3871,6105,buh_medra_eh_t4,no translation yet,0.9605,0.5002,0.4993,0.9985,0.9984
buh_medra_eh_t6_42c19e0e_jpg.rf.5kLHMltI7T48Ui8mgLVU.jpg,3873,6107,buh_medra_eh_t6,no translation yet,0.9766,0.4998,0.4996,0.9976,0.9989
buh_medra_oh_t1_8f69cb18_jpg.rf.uv0Ks7gQopWVJxoByV34.jpg,3862,6096,buh_medra_oh_t1,no translation yet,0.6173,0.5041,0.5221,0.4428,0.5701
buh_medra_oh_t2_e7687f9f_jpg.rf.LkKIq8Zxwo9zfujMc6Ua.jpg,3863,6097,buh_medra_oh_t2,no translation yet,0.9562,0.4998,0.4995,0.9977,0.9991
buh_medra_oh_t3_b64ae31e_jpg.rf.p3rlrSAX7sMnJyNDqhT3.jpg,3864,6098,buh_medra_oh_t3,no translation yet,0.9236,0.4997,0.4998,0.9977,0.9986
buh_medra_oo_t3_a44ab18c_jpg.rf.W8k0wfi6Nr08nOEA9o9o.jpg,3876,6110,buh_medra_oo_t3,no translation yet,0.9269,0.5002,0.4996,0.9986,0.9987
buh_medra_oo_t4_d12266bf_jpg.rf.yC4Ue9VMnnxF8WHiR3tP.jpg,3877,6111,buh_medra_oo_t4,no translation yet,0.8713,0.5003,0.4997,0.9993,0.9993
buh_medra_u_t1_2eee696a_jpg.rf.oacmt7GB8ivSRbZAjbrC.jpg,3880,6114,buh_medra_u_t1,no translation yet,0.9619,0.5003,0.5000,0.9984,0.9996
buh_medra_u_t1_f508c300_jpg.rf.CTfOBZCNM6tmmSiTB28d.jpg,3880,6114,buh_medra_u_t1,no translation yet,0.9565,0.5004,0.5001,0.9985,0.9995
buh_medra_u_t4_22548b92_jpg.rf.2uaCSlTl8rccaXnJOYWu.jpg,3883,6117,buh_medra_u_t4,no translation yet,0.8431,0.4988,0.4999,0.9976,0.9979
buh_medra_u_t6_0c322629_jpg.rf.4DAC2G9m9bOllPYYAnDz.jpg,3885,6119,buh_medra_u_t6,no translation yet,0.8361,0.5026,0.5218,0.6629,0.5694
buh_medwa_ah_t3_0386f5fa_jpg.rf.LjxqeyJfFXhrSVxtZfRA.jpg,3894,6128,buh_medwa_ah_t3,no translation yet,0.9411,0.5002,0.5002,0.9982,0.9996
buh_medwa_ah_t6_b5e5311c_jpg.rf.49zUp60pB9V6CmMDVlf9.jpg,3897,6131,buh_medwa_ah_t6,no translation yet,0.7255,0.5002,0.5001,0.9981,0.9985
buh_medwa_ah_t6_f65485a0_jpg.rf.N4F6ONEj7lwQ8ThRWuew.jpg,3897,6131,buh_medwa_ah_t6,no translation yet,0.7150,0.5000,0.5001,0.9982,0.9997
buh_medwa_aw_t1_14504a86_jpg.rf.kRaFPqSX70Fc58aVnms2.jpg,3916,6150,buh_medwa_aw_t1,no translation yet,0.9752,0.5001,0.4998,0.9981,0.9996
buh_medwa_ay_t1_79b1c97a_jpg.rf.FhHMLaGX8aVYhKLkFfUG.jpg,3910,6144,buh_medwa_ay_t1,no translation yet,0.9040,0.5386,0.6136,0.4535,0.3914
buh_medwa_ay_t2_8fae839c_jpg.rf.U3k15hx82b8VQ1TmIFbV.jpg,3911,6145,buh_medwa_ay_t2,no translation yet,0.9755,0.4998,0.5002,0.9975,0.9979
buh_medwa_ay_t2_d3d493dc_jpg.rf.0UtlmMBDQs6hOutROefN.jpg,3911,6145,buh_medwa_ay_t2,no translation yet,0.9754,0.4999,0.5002,0.9974,0.9993
buh_medwa_ay_t3_ecfa1b55_jpg.rf.2DEnH2WntRxHoecaEZya.jpg,3912,6146,buh_medwa_ay_t3,no translation yet,0.7729,0.5043,0.6135,0.5184,0.3914
buh_medwa_ay_t5_3111783d_jpg.rf.EAutiCXT0yL8AYk7UHFH.jpg,3914,6148,buh_medwa_ay_t5,no translation yet,0.9362,0.5002,0.4992,0.9983,0.9971
buh_medwa_ay_t6_6eae0854_jpg.rf.VDvlWZPQEXd3rhbLeu6U.jpg,3915,6149,buh_medwa_ay_t6,no translation yet,0.9547,0.5001,0.4998,0.9985,0.9990
buh_medwa_ee_t2_389450e2_jpg.rf.pv3Ueeuko20PIfJ07Zuy.jpg,3899,6133,buh_medwa_ee_t2,no translation yet,0.7718,0.5016,0.5611,0.4799,0.4964
buh_medwa_ee_t4_894836e5_jpg.rf.qogN9Bvrt7ifbVBRoc3n.jpg,3901,6135,buh_medwa_ee_t4,no translation yet,0.9700,0.4999,0.4993,0.9987,0.9976
buh_medwa_eh_t5_440d1cad_jpg.rf.4Lw8YNfdHgGfsUe2Fw98.jpg,3932,6166,buh_medwa_eh_t5,no translation yet,0.9335,0.5000,0.4993,0.9980,0.9986
buh_medwa_eh_t5_f81e9e24_jpg.rf.ZwqP8ODFlafmfCl1Yyju.jpg,3932,6166,buh_medwa_eh_t5,no translation yet,0.9333,0.4998,0.4992,0.9980,0.9978
buh_medwa_eh_t6_02dfa913_jpg.rf.YTBQ0Uwafymeb7c33FUv.jpg,3933,6167,buh_medwa_eh_t6,no translation yet,0.8404,0.4986,0.5324,0.5258,0.5525
buh_medwa_er_t4_910a3c7a_jpg.rf.EuXnrAPuqC2AAabvAu5C.jpg,3907,6141,buh_medwa_er_t4,no translation yet,0.9530,0.5000,0.4997,0.9981,0.9988
buh_medwa_er_t5_04f7640d_jpg.rf.BoUncdQPXXLAsQsUJIEZ.jpg,3908,6142,buh_medwa_er_t5,no translation yet,0.9319,0.4999,0.5003,0.9985,0.9991
buh_medwa_er_t5_c092e661_jpg.rf.n3Th4FVhSqwFXjPzC7n3.jpg,3908,6142,buh_medwa_er_t5,no translation yet,0.9291,0.5001,0.5001,0.9986,0.9990
buh_medwa_er_t6_31d592ec_jpg.rf.7rWFFxqvZ5W57Scm1dFC.jpg,3909,6143,buh_medwa_er_t6,no translation yet,0.8999,0.4996,0.5001,0.9979,0.9985
buh_medwa_oh_t4_96dfc724_jpg.rf.IDE0WTn6qkRKc4AWz85F.jpg,3925,6159,buh_medwa_oh_t4,no translation yet,0.7252,0.4981,0.5327,0.5797,0.5521
buh_medwa_oh_t5_d1e38c32_jpg.rf.WcNW4GaUezXLkrjdhZUP.jpg,3926,6160,buh_medwa_oh_t5,no translation yet,0.9414,0.5001,0.4995,0.9979,0.9984
buh_medwa_oh_t6_75d7e2d4_jpg.rf.DXl2cmdbS3cnobm0Vajz.jpg,3927,6161,buh_medwa_oh_t6,no translation yet,0.9904,0.5000,0.4996,0.9977,0.9988
buh_medwa_oo_t1_06ab9bb0_jpg.rf.B7HU6MOUdrIRprvhcKLh.jpg,3934,6168,buh_medwa_oo_t1,no translation yet,0.9758,0.5003,0.4999,0.9988,0.9988
buh_medwa_u_t2_321f5e66_jpg.rf.tpkyslVylq3vYYo2yWtN.jpg,3941,6175,buh_medwa_u_t2,no translation yet,0.9714,0.5003,0.4998,0.9980,0.9988
buh_medwa_u_t5_869cd054_jpg.rf.STQ7kw91X6X1hqzbUEvY.jpg,3944,6178,buh_medwa_u_t5,no translation yet,0.9775,0.4999,0.5000,0.9983,0.9984
buh_medwa_u_t6_892785b3_jpg.rf.o1viLocXCgbSTfBqKGF5.jpg,3945,6179,buh_medwa_u_t6,no translation yet,0.9555,0.5000,0.4996,0.9978,0.9990
buh_medya_a_t4_8b6685db_jpg.rf.ljUZ2RuHFqZHUomeep26.jpg,4009,6243,buh_medya_a_t4,no translation yet,0.8726,0.4987,0.5312,0.5785,0.5488
buh_medya_ah_t1_b106de76_jpg.rf.HJin5o9HPcgCZrnTPaqs.jpg,4012,6246,buh_medya_ah_t1,no translation yet,0.9768,0.5000,0.4997,0.9983,0.9993
buh_medya_ah_t3_373d3551_jpg.rf.SyILqIdOZySeEamhcMB6.jpg,4014,6248,buh_medya_ah_t3,no translation yet,0.6665,0.5041,0.5312,0.5953,0.5497
buh_medya_aw_t2_51769c61_jpg.rf.6BDbJP0ffkXR1VcqeOqN.jpg,4037,6271,buh_medya_aw_t2,no translation yet,0.9700,0.5001,0.4992,0.9982,0.9976
buh_medya_aw_t3_c57ddcb9_jpg.rf.UvwD91TtKOaGZWqAq9Fu.jpg,4038,6272,buh_medya_aw_t3,no translation yet,0.9824,0.5001,0.4997,0.9985,0.9993
buh_medya_aw_t4_1c2bfeb3_jpg.rf.BmLXnq0x9C6h1hWUoslb.jpg,4039,6273,buh_medya_aw_t4,no translation yet,0.9801,0.4999,0.5001,0.9983,0.9994
buh_medya_aw_t5_d8f4b8f7_jpg.rf.iTrL2nDYbIoeH5oJvwCo.jpg,4040,6274,buh_medya_aw_t5,no translation yet,0.9766,0.5001,0.4999,0.9981,0.9997
buh_medya_aw_t6_841b9197_jpg.rf.BY97WX5pAzwTSbABNiGH.jpg,4041,6275,buh_medya_aw_t6,no translation yet,0.9462,0.5003,0.5000,0.9985,0.9994
buh_medya_aw_t6_c9448d0e_jpg.rf.OfeMpMoVAKtWQTH1FGq8.jpg,4041,6275,buh_medya_aw_t6,no translation yet,0.9427,0.5002,0.5000,0.9986,0.9987
buh_medya_ay_t2_9ffdccf9_jpg.rf.dn6roH2c3CrEslYtoOCP.jpg,4031,6265,buh_medya_ay_t2,no translation yet,0.9706,0.5001,0.5000,0.9981,0.9988
buh_medya_ay_t5_4eecd6c1_jpg.rf.wdMD94qspBLs8VUoJEcY.jpg,4034,6268,buh_medya_ay_t5,no translation yet,0.9696,0.5002,0.5000,0.9978,0.9991
buh_medya_ay_t6_96104eee_jpg.rf.mFiGuOyUtRLxQ5sqQDuM.jpg,4035,6269,buh_medya_ay_t6,no translation yet,0.9187,0.4985,0.5314,0.5256,0.5491
buh_medya_ee_t2_f58d020b_jpg.rf.lR4W8JiJAE6l1DVLWg8w.jpg,4019,6253,buh_medya_ee_t2,no translation yet,0.9548,0.5001,0.5000,0.9985,1.0000
buh_medya_ee_t5_089431cf_jpg.rf.NejynLHqZOZ8Vanssyiy.jpg,4022,6256,buh_medya_ee_t5,no translation yet,0.9581,0.5001,0.4995,0.9984,0.9987
buh_medya_eh_t1_7c9e8181_jpg.rf.66vf8qBhNeSQOgHJoVxC.jpg,4048,6282,buh_medya_eh_t1,no translation yet,0.9309,0.5000,0.4999,0.9978,0.9999
buh_medya_eh_t1_cccf19d6_jpg.rf.HnPHSz8sMRB02mBzw3Zd.jpg,4048,6282,buh_medya_eh_t1,no translation yet,0.6431,0.4987,0.5455,0.3736,0.5216
buh_medya_eh_t2_376f006b_jpg.rf.Ro9ntfhRyYaG2wJhN0I8.jpg,4049,6283,buh_medya_eh_t2,no translation yet,0.9586,0.5000,0.4999,0.9978,0.9995
buh_medya_eh_t4_3f943931_jpg.rf.SHaTNQ58TRDCWw5EpRZB.jpg,4051,6285,buh_medya_eh_t4,no translation yet,0.8465,0.4981,0.5308,0.5796,0.5504
buh_medya_eh_t5_f84724d5_jpg.rf.OqIn8UZrTlX5XMnMfCJi.jpg,4052,6286,buh_medya_eh_t5,no translation yet,0.9229,0.5000,0.4994,0.9983,0.9981
buh_medya_er_t3_62f264df_jpg.rf.a66azabaJR1FtdmXk1Js.jpg,4026,6260,buh_medya_er_t3,no translation yet,0.5218,0.5049,0.6118,0.6217,0.3881
buh_medya_er_t4_06da31cb_jpg.rf.KuCGR2pNr5bcbaQTc5n3.jpg,4027,6261,buh_medya_er_t4,no translation yet,0.9622,0.4997,0.4999,0.9973,0.9994
buh_medya_oh_t3_bca02adb_jpg.rf.v5GZTrsIq3doAeONhAVE.jpg,4044,6278,buh_medya_oh_t3,no translation yet,0.5949,0.4996,0.5006,0.9984,0.9983
buh_medya_oh_t3_ed7b4b6c_jpg.rf.0U81SjwZLVhKxB0pfvYb.jpg,4044,6278,buh_medya_oh_t3,no translation yet,0.5971,0.4995,0.5004,0.9981,0.9981
buh_medya_oo_t6_22a26c68_jpg.rf.NeOky4fdtaLGEvYlkqJT.jpg,4059,6293,buh_medya_oo_t6,no translation yet,0.9586,0.4999,0.5001,0.9979,0.9990
buh_oh_t1_f775479d_jpg.rf.NgO763xjBzaNpaEJa2N2.jpg,6313,936,buh_oh_t1,no translation yet,0.9453,0.5004,0.4997,0.9973,0.9994
buh_oh_t4_fbf8f847_jpg.rf.TlIkStNsCL6i7z2S3q0E.jpg,6316,939,buh_oh_t4,no translation yet,0.9516,0.5003,0.4999,0.9988,0.9995
buh_oo_t3_bd189d41_jpg.rf.YXIS5GW5e8fMDB3YbDhM.jpg,6327,950,buh_oo_t3,no translation yet,0.8466,0.5001,0.4999,0.9979,0.9991
buh_oo_t4_1df27ac7_jpg.rf.KHRTYsPgplsvIFQvX3zB.jpg,6328,951,buh_oo_t4,no translation yet,0.8269,0.5002,0.4996,0.9984,0.9988
